Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,64,75265,4.30373e+07,15.9998,371.765,1.13885e+07,773.608,64,16.0009,16,9,130,6,1,1,150528,96,2.79809e+07,1204224,704.045,14.1312,4,51.4318,1204224, 1203232, 1203232, 150528, 1.00082, 1204224, 96, 96, 96, 12544, 1204224, 1204224, 1605632, 1204224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 32, 1
MobileNetV2,Bottleneck1_1_1,64,401410,4.48093e+08,31.9998,71.4134,1.13885e+07,773.608,64,32.0025,32,9,258,6,1,1,401408,1024,2.8666e+07,12845056,704.045,14.1312,4,51.4318,12845056, 12843072, 12843072, 401408, 1.00015, 12845056, 1024, 1024, 1024, 12544, 12845056, 12845056, 401408, 12845056, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
MobileNetV2,Bottleneck1_1_2,64,19204,1.30995e+08,181.462,1385.26,1.13885e+07,773.608,64,63.7642,83,9,626,54,1,1,401408,288,2.66025e+07,3484800,704.045,14.1312,4,51.4318,3484800, 1199500, 1199500, 401408, 2.90521, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 387200, 1, 2, 4, 3, 1, 1, 1, 3, 3, 3, 62.8571, 2.25
MobileNetV2,Bottleneck1_1_3,64,200706,2.45844e+08,31.9997,130.163,1.13885e+07,773.608,64,32.0025,32,9,258,6,1,1,401408,512,2.61244e+07,6422528,704.045,14.1312,4,51.4318,6422528, 6421568, 6421568, 401408, 1.00015, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 6422528, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
MobileNetV2,Bottleneck1_1_Residual,64,6274,5.88996e+07,31.9898,543.125,1.13885e+07,773.608,64,32.0022,32,9,258,6,1,1,200704,16,3.40756e+06,200704,704.045,14.1312,4,51.4318,200704, 200704, 200704, 200704, 1, 200704, 16, 16, 16, 12544, 200704, 200704, 200704, 200704, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
MobileNetV2,Bottleneck2_1_1,64,602114,6.53144e+08,31.9999,48.9936,1.13885e+07,773.608,64,32.0024,32,9,258,6,1,1,200704,1536,2.94997e+07,19267584,704.045,14.1312,4,51.4318,19267584, 19261504, 19261504, 200704, 1.00032, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 19267584, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
MobileNetV2,Bottleneck2_1_2,64,28707,2.12244e+08,157.649,742.774,1.13885e+07,773.608,64,94.2788,112,9,660,54,1,1,1204224,864,2.13228e+07,4525632,704.045,14.1312,4,51.4318,4525632, 1773087, 1773087, 1204224, 2.5524, 4525632, 864, 864, 864, 5238, 4525632, 4525632, 1161600, 940512, 1, 3, 4, 3, 2, 2, 2, 2, 2, 2, 31.4286, 2.25
MobileNetV2,Bottleneck2_1_3,64,903170,1.0079e+09,31.9999,31.7491,1.13885e+07,773.608,64,32.0101,32,9,258,6,1,1,301056,9216,2.86748e+07,28901376,704.045,14.1312,4,51.4318,28901376, 28895296, 28895296, 301056, 1.00021, 28901376, 9216, 9216, 9216, 3136, 28901376, 28901376, 301056, 28901376, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
MobileNetV2,Bottleneck2_2_1,64,903170,1.19718e+09,31.9999,26.7293,1.13885e+07,773.608,64,32.0101,32,9,258,6,1,1,301056,9216,2.41411e+07,28901376,704.045,14.1312,4,51.4318,28901376, 28895296, 28895296, 301056, 1.00021, 28901376, 9216, 9216, 9216, 3136, 28901376, 28901376, 301056, 28901376, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 64, 1
MobileNetV2,Bottleneck2_2_2,64,14596,2.44225e+08,172.611,706.769,1.13885e+07,773.608,64,63.037,83,9,626,54,1,1,301056,864,1.0316e+07,2519424,704.045,14.1312,4,51.4318,2519424, 888716, 888716, 301056, 2.8349, 2519424, 864, 864, 864, 2916, 2519424, 2519424, 279936, 279936, 1, 2, 4, 3, 1, 1, 1, 3, 3, 3, 61.7143, 2.25
