Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,16,6504975,6.6981e+08,31.4912,47.0152,1.59393e+06,201.388,16,5.14882,10,9,504,294,1,1,150528,9408,3.05833e+08,204849792,176.011,17.664,4,3.71263,204849792, 33483830, 33483830, 150528, 6.11787, 204849792, 9408, 9408, 9408, 21774, 204849792, 204849792, 3041536, 6160896, 1, 3, 15, 7, 1, 3, 1, 22, 22, 22, 7.92727, 1.75
Resnet50,CONV2_1_1,16,1605634,1.731e+09,7.99999,4.62161,1.30559e+06,187.257,16,8.00251,8,9,66,6,1,1,200704,4096,7.42061e+06,12845056,176.011,3.5328,4,3.71263,12845056, 12844048, 12844048, 200704, 1.00008, 12845056, 4096, 4096, 4096, 3136, 12845056, 12845056, 200704, 12845056, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 1
Resnet50,CONV2_1_2,16,5419013,9.49147e+08,19.8367,20.8995,1.30559e+06,187.257,16,7.09334,9,9,170,54,1,1,200704,36864,1.13255e+08,107495424,176.011,3.5328,4,3.71263,107495424, 38401596, 38401596, 200704, 2.79924, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
Resnet50,CONV2_1_3,16,6422530,2.44404e+09,8,3.27326,1.30559e+06,187.257,16,8.00251,8,9,66,6,1,1,200704,16384,2.10226e+07,51380224,176.011,3.5328,4,3.71263,51380224, 51376144, 51376144, 200704, 1.00008, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 1
Resnet50,CONV2_1_Residual,16,100354,4.30707e+08,7.99984,18.5738,1.30559e+06,187.257,16,8.00253,8,9,66,6,1,1,802816,256,1.86395e+06,802816,176.011,3.5328,4,3.71263,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 1
Resnet50,CONV2_2_1,16,6422530,1.74892e+09,8,4.57425,1.30559e+06,187.257,16,8.00254,8,9,66,6,1,1,802816,16384,2.93782e+07,51380224,176.011,3.5328,4,3.71263,51380224, 51379216, 51379216, 802816, 1.00002, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 1
Resnet50,CONV2_2_2,16,5419013,1.24179e+09,19.8367,15.9743,1.30559e+06,187.257,16,7.09334,9,9,170,54,1,1,200704,36864,8.65652e+07,107495424,176.011,3.5328,4,3.71263,107495424, 38401596, 38401596, 200704, 2.79924, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
Resnet50,CONV2_2_3,16,6422530,2.44404e+09,8,3.27326,1.30559e+06,187.257,16,8.00251,8,9,66,6,1,1,200704,16384,2.10226e+07,51380224,176.011,3.5328,4,3.71263,51380224, 51376144, 51376144, 200704, 1.00008, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 1
Resnet50,CONV2_2_Residual,16,100354,4.30707e+08,7.99984,18.5738,1.30559e+06,187.257,16,8.00253,8,9,66,6,1,1,802816,256,1.86395e+06,802816,176.011,3.5328,4,3.71263,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 1
Resnet50,CONV2_3_1,16,6422530,1.74892e+09,8,4.57425,1.30559e+06,187.257,16,8.00254,8,9,66,6,1,1,802816,16384,2.93782e+07,51380224,176.011,3.5328,4,3.71263,51380224, 51379216, 51379216, 802816, 1.00002, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 1
Resnet50,CONV2_3_2,16,5419013,1.24179e+09,19.8367,15.9743,1.30559e+06,187.257,16,7.09334,9,9,170,54,1,1,200704,36864,8.65652e+07,107495424,176.011,3.5328,4,3.71263,107495424, 38401596, 38401596, 200704, 2.79924, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 2.25
Resnet50,CONV2_3_3,16,6422530,2.44404e+09,8,3.27326,1.30559e+06,187.257,16,8.00251,8,9,66,6,1,1,200704,16384,2.10226e+07,51380224,176.011,3.5328,4,3.71263,51380224, 51376144, 51376144, 200704, 1.00008, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 1
Resnet50,CONV2_3_Residual,16,100354,4.30707e+08,7.99984,18.5738,1.30559e+06,187.257,16,8.00253,8,9,66,6,1,1,802816,256,1.86395e+06,802816,176.011,3.5328,4,3.71263,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 1
Resnet50,CONV3_1_1,16,6422529,8.8508e+08,4,4.51936,1.30559e+06,187.257,16,4.00508,4,9,34,6,1,1,802816,32768,2.90257e+07,25690112,176.011,3.5328,4,3.71263,25690112, 25689096, 25689096, 802816, 1.00004, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 401408, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 8, 1
Resnet50,CONV3_1_2,16,5963781,1.11349e+09,16.7143,15.0106,1.30559e+06,187.257,16,7.25478,9,9,170,54,1,1,100352,147456,8.95202e+07,99680256,176.011,3.5328,4,3.71263,99680256, 43117628, 43117628, 100352, 2.31182, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
Resnet50,CONV3_1_3,16,7340034,2.52728e+09,7,2.76978,1.30559e+06,187.257,16,8.00886,8,9,66,6,1,1,100352,65536,2.03303e+07,51380224,176.011,3.5328,4,3.71263,51380224, 58712080, 58712080, 100352, 0.875122, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_1_Residual,16,57346,4.22637e+08,6.99976,16.5621,1.30559e+06,187.257,16,8.00889,8,9,66,6,1,1,401408,512,949771,401408,176.011,3.5328,4,3.71263,401408, 458752, 458752, 401408, 0.875, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_2_1,16,3670018,9.33715e+08,7,7.49693,1.30559e+06,187.257,16,8.00889,8,9,66,6,1,1,200704,32768,2.75139e+07,25690112,176.011,3.5328,4,3.71263,25690112, 29358096, 29358096, 200704, 0.875061, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 25690112, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_2_2,16,5963781,1.11907e+09,16.7143,14.9359,1.30559e+06,187.257,16,7.25478,9,9,170,54,1,1,100352,147456,8.90744e+07,99680256,176.011,3.5328,4,3.71263,99680256, 43117628, 43117628, 100352, 2.31182, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
Resnet50,CONV3_2_3,16,7340034,2.52728e+09,7,2.76978,1.30559e+06,187.257,16,8.00886,8,9,66,6,1,1,100352,65536,2.03303e+07,51380224,176.011,3.5328,4,3.71263,51380224, 58712080, 58712080, 100352, 0.875122, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_1_Residual,16,57346,4.22637e+08,6.99976,16.5621,1.30559e+06,187.257,16,8.00889,8,9,66,6,1,1,401408,512,949771,401408,176.011,3.5328,4,3.71263,401408, 458752, 458752, 401408, 0.875, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_3_1,16,3670018,9.33715e+08,7,7.49693,1.30559e+06,187.257,16,8.00889,8,9,66,6,1,1,200704,32768,2.75139e+07,25690112,176.011,3.5328,4,3.71263,25690112, 29358096, 29358096, 200704, 0.875061, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 25690112, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_3_2,16,5963781,1.11907e+09,16.7143,14.9359,1.30559e+06,187.257,16,7.25478,9,9,170,54,1,1,100352,147456,8.90744e+07,99680256,176.011,3.5328,4,3.71263,99680256, 43117628, 43117628, 100352, 2.31182, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
Resnet50,CONV3_3_3,16,7340034,2.52728e+09,7,2.76978,1.30559e+06,187.257,16,8.00886,8,9,66,6,1,1,100352,65536,2.03303e+07,51380224,176.011,3.5328,4,3.71263,51380224, 58712080, 58712080, 100352, 0.875122, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_3_Residual,16,57346,4.22637e+08,6.99976,16.5621,1.30559e+06,187.257,16,8.00889,8,9,66,6,1,1,401408,512,949771,401408,176.011,3.5328,4,3.71263,401408, 458752, 458752, 401408, 0.875, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_4_1,16,3670018,9.33715e+08,7,7.49693,1.30559e+06,187.257,16,8.00889,8,9,66,6,1,1,200704,32768,2.75139e+07,25690112,176.011,3.5328,4,3.71263,25690112, 29358096, 29358096, 200704, 0.875061, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 25690112, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_4_2,16,5963781,1.11907e+09,16.7143,14.9359,1.30559e+06,187.257,16,7.25478,9,9,170,54,1,1,100352,147456,8.90744e+07,99680256,176.011,3.5328,4,3.71263,99680256, 43117628, 43117628, 100352, 2.31182, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 0.75
Resnet50,CONV3_4_3,16,7340034,2.52728e+09,7,2.76978,1.30559e+06,187.257,16,8.00886,8,9,66,6,1,1,100352,65536,2.03303e+07,51380224,176.011,3.5328,4,3.71263,51380224, 58712080, 58712080, 100352, 0.875122, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV3_4_Residual,16,57346,4.22637e+08,6.99976,16.5621,1.30559e+06,187.257,16,8.00889,8,9,66,6,1,1,401408,512,949771,401408,176.011,3.5328,4,3.71263,401408, 458752, 458752, 401408, 0.875, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.5
Resnet50,CONV4_1_1,16,7340033,1.00214e+09,4,3.99145,1.30559e+06,187.257,16,4.01782,4,9,34,6,1,1,401408,131072,2.92974e+07,29360128,176.011,3.5328,4,3.71263,29360128, 29358088, 29358088, 401408, 1.00007, 29360128, 131072, 131072, 131072, 224, 29360128, 29360128, 200704, 29360128, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 8, 1
Resnet50,CONV4_1_2,16,5505029,1.09483e+09,15.4286,14.0923,1.30559e+06,187.257,16,7.5818,9,9,170,54,1,1,50176,589824,7.75783e+07,84934656,176.011,3.5328,4,3.71263,84934656, 41146428, 41146428, 50176, 2.0642, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 9437184, 1, 1, 5, 3, 1, 1, 1, 7, 7, 7, 16, 1.5
Resnet50,CONV4_1_3,16,7340034,2.44101e+09,7,2.86766,1.30559e+06,187.257,16,8.03557,8,9,66,6,1,1,50176,262144,2.10487e+07,51380224,176.011,3.5328,4,3.71263,51380224, 58703888, 58703888, 50176, 0.875244, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 16, 0.75
