Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,256,152460,6.89863e+08,1272.91,1845.17,1.48591e+08,3906.62,256,219.868,423,9,6804,294,1,1,150528,9408,2.81314e+08,194068224,2816.18,282.624,4,803.819,194068224, 33062240, 33062240, 150528, 5.86978, 194068224, 9408, 9408, 9408, 20628, 194068224, 194068224, 3041536, 7774464, 1, 1, 12, 6, 1, 2, 1, 7, 7, 7, 109, 1.75
Resnet50,CONV2_1_1,256,114690,1.66461e+09,111.998,67.282,1.43977e+08,3680.52,256,112.035,128,9,1026,6,1,1,200704,4096,7.71657e+06,12845056,2816.18,56.5248,4,803.819,12845056, 12828928, 12828928, 200704, 1.00126, 12845056, 4096, 4096, 4096, 3136, 12845056, 12845056, 200704, 12845056, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_1_2,256,167940,9.07471e+08,640.082,705.348,1.43977e+08,3680.52,256,313.704,484,9,2450,54,1,1,200704,36864,1.18456e+08,107495424,2816.18,56.5248,4,803.819,107495424, 35925696, 35925696, 200704, 2.99216, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 216, 2.25
Resnet50,CONV2_1_3,256,458754,2.43925e+09,112,45.9155,1.43977e+08,3680.52,256,112.035,128,9,1026,6,1,1,200704,16384,2.10639e+07,51380224,2816.18,56.5248,4,803.819,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_1_Residual,256,7170,4.30614e+08,111.969,260.021,1.43977e+08,3680.52,256,112.035,128,9,1026,6,1,1,802816,256,1.86435e+06,802816,2816.18,56.5248,4,803.819,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_2_1,256,458754,1.74867e+09,112,64.0485,1.43977e+08,3680.52,256,112.036,128,9,1026,6,1,1,802816,16384,2.93825e+07,51380224,2816.18,56.5248,4,803.819,51380224, 51364096, 51364096, 802816, 1.00031, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_2_2,256,167940,1.20011e+09,640.082,533.353,1.43977e+08,3680.52,256,313.704,484,9,2450,54,1,1,200704,36864,8.95713e+07,107495424,2816.18,56.5248,4,803.819,107495424, 35925696, 35925696, 200704, 2.99216, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 1, 4, 2, 1, 1, 1, 2, 2, 2, 216, 2.25
Resnet50,CONV2_2_3,256,458754,2.43925e+09,112,45.9155,1.43977e+08,3680.52,256,112.035,128,9,1026,6,1,1,200704,16384,2.10639e+07,51380224,2816.18,56.5248,4,803.819,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_2_Residual,256,7170,4.30614e+08,111.969,260.021,1.43977e+08,3680.52,256,112.035,128,9,1026,6,1,1,802816,256,1.86435e+06,802816,2816.18,56.5248,4,803.819,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
Resnet50,CONV2_3_1,256,458754,1.74867e+09,112,64.0485,1.43977e+08,3680.52,256,112.036,128,9,1026,6,1,1,802816,16384,2.93825e+07,51380224,2816.18,56.5248,4,803.819,51380224, 51364096, 51364096, 802816, 1.00031, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 224, 1
